Date,Daily Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,Confirmed
2020-01-30,1,0,0,0,0,1
2020-01-31,0,0,0,0,0,1
2020-02-01,0,0,0,0,0,1
2020-02-02,1,0,0,0,0,2
2020-02-03,1,0,0,0,0,3
2020-02-04,0,0,0,0,0,3
2020-02-05,0,0,0,0,0,3
2020-02-06,0,0,0,0,0,3
2020-02-07,0,0,0,0,0,3
2020-02-08,0,0,0,0,0,3
2020-02-09,0,0,0,0,0,3
2020-02-10,0,0,0,0,0,3
2020-02-11,0,0,0,0,0,3
2020-02-12,0,0,0,0,0,3
2020-02-13,0,1,1,0,0,3
2020-02-14,0,0,1,0,0,3
2020-02-15,0,0,1,0,0,3
2020-02-16,0,1,2,0,0,3
2020-02-17,0,0,2,0,0,3
2020-02-18,0,0,2,0,0,3
2020-02-19,0,0,2,0,0,3
2020-02-20,0,1,3,0,0,3
2020-02-21,0,0,3,0,0,3
2020-02-22,0,0,3,0,0,3
2020-02-23,0,0,3,0,0,3
2020-02-24,0,0,3,0,0,3
2020-02-25,0,0,3,0,0,3
2020-02-26,0,0,3,0,0,3
2020-02-27,0,0,3,0,0,3
2020-02-28,0,0,3,0,0,3
2020-02-29,0,0,3,0,0,3
2020-03-01,0,0,3,0,0,3
2020-03-02,2,0,3,0,0,5
2020-03-03,1,0,3,0,0,6
2020-03-04,22,0,3,0,0,28
2020-03-05,2,0,3,0,0,30
2020-03-06,1,0,3,0,0,31
2020-03-07,3,0,3,0,0,34
2020-03-08,5,0,3,0,0,39
2020-03-09,9,0,3,0,0,48
2020-03-10,15,1,4,0,0,63
2020-03-11,8,0,4,0,0,71
2020-03-12,10,0,4,1,1,81
2020-03-13,10,6,10,0,1,91
2020-03-14,11,0,10,1,2,102
2020-03-15,10,3,13,0,2,112
2020-03-16,14,1,14,0,2,126
2020-03-17,20,1,15,1,3,146
2020-03-18,25,0,15,0,3,171
2020-03-19,27,5,20,1,4,198
2020-03-20,58,3,23,0,4,256
2020-03-21,78,0,23,0,4,334
2020-03-22,69,0,23,3,7,403
2020-03-23,94,2,25,2,9,497
2020-03-24,74,15,40,1,10,571
2020-03-25,86,3,43,1,11,657
2020-03-26,73,7,50,5,16,730
2020-03-27,153,25,75,3,19,883
2020-03-28,136,10,85,5,24,1019
2020-03-29,120,17,102,3,27,1139
2020-03-30,187,35,137,14,41,1326
2020-03-31,309,13,150,6,47,1635
2020-04-01,424,19,169,6,53,2059
2020-04-02,486,22,191,16,69,2545
2020-04-03,560,39,230,14,83,3105
2020-04-04,579,56,286,13,96,3684
2020-04-05,609,43,329,22,118,4293
2020-04-06,484,65,394,16,134,4777
2020-04-07,573,75,469,27,161,5350
2020-04-08,565,96,565,20,181,5915
2020-04-09,813,70,635,46,227,6728
2020-04-10,871,151,786,22,249,7599
2020-04-11,854,186,972,41,290,8453
2020-04-12,758,114,1086,42,332,9211
2020-04-13,1243,112,1198,27,359,10454
2020-04-14,1031,167,1365,37,396,11485
2020-04-15,886,144,1509,27,423,12371
2020-04-16,1061,258,1767,26,449,13432
2020-04-17,922,273,2040,38,487,14354
2020-04-18,1371,426,2466,35,522,15725
2020-04-19,1580,388,2854,38,560,17305
2020-04-20,1239,419,3273,33,593,18544
2020-04-21,1537,703,3976,53,646,20081
2020-04-22,1292,394,4370,36,682,21373
2020-04-23,1667,642,5012,40,722,23040
2020-04-24,1408,484,5496,59,781,24448
2020-04-25,1835,442,5938,44,825,26283
2020-04-26,1607,585,6523,56,881,27890
2020-04-27,1568,580,7103,58,939,29458
2020-04-28,1902,636,7739,69,1008,31360
2020-04-29,1705,690,8429,71,1079,33065
2020-04-30,1801,630,9059,75,1154,34866
2020-05-01,2396,962,10021,77,1231,37262
2020-05-02,2564,831,10852,92,1323,39826
2020-05-03,2952,911,11763,140,1463,42778
2020-05-04,3656,1082,12845,103,1566,46434
2020-05-05,2971,1295,14140,128,1694,49405
2020-05-06,3602,1161,15301,91,1785,53007
2020-05-07,3344,1475,16776,104,1889,56351
2020-05-08,3339,1111,17887,97,1986,59690
2020-05-09,3175,1414,19301,115,2101,62865
2020-05-10,4311,1669,20970,112,2213,67176
2020-05-11,3592,1579,22549,81,2294,70768
2020-05-12,3562,1905,24454,120,2414,74330
2020-05-13,3726,1963,26417,137,2551,78056
2020-05-14,3991,1594,28011,97,2648,82047
2020-05-15,3808,2234,30245,104,2752,85855
2020-05-16,4794,4012,34257,120,2872,90649
2020-05-17,5049,2538,36795,152,3024,95698
2020-05-18,4628,2482,39277,131,3155,100326
2020-05-19,6154,3032,42309,146,3301,106480
2020-05-20,5720,3113,45422,134,3435,112200
2020-05-21,6023,3131,48553,148,3583,118223
2020-05-22,6536,3280,51833,142,3725,124759
2020-05-23,6667,2576,54409,142,3867,131424
2020-05-24,7111,3285,57694,156,4023,138537
2020-05-25,6414,3012,60706,150,4173,144951
2020-05-26,5907,3585,64291,173,4346,150858
2020-05-27,7246,3434,67725,188,4534,158104
2020-05-28,7254,3171,70896,176,4710,165358
2020-05-29,8138,11735,82631,269,4979,173496
2020-05-30,8364,4303,86934,205,5184,181860
2020-05-31,8789,4928,91862,222,5406,190649
2020-06-01,7723,3882,95744,201,5607,198372
2020-06-02,8812,4531,100275,222,5829,207187
2020-06-03,9689,3789,104064,259,6088,216876
2020-06-04,9847,4390,108454,274,6362,226723
2020-06-05,9472,4770,113224,286,6648,236195
2020-06-06,10408,5433,118657,297,6945,246603
2020-06-07,10882,5191,123848,261,7206,257485
2020-06-08,8536,5171,129019,271,7477,266021
2020-06-09,9981,5634,134653,272,7749,276002
2020-06-10,11156,6275,140928,358,8107,287158
2020-06-11,11135,6044,146972,394,8501,298293
2020-06-12,11306,7263,154235,388,8889,309599
2020-06-13,12039,8092,162327,309,9198,321638
2020-06-14,11405,7358,169685,324,9522,333043
2020-06-15,10032,10639,180324,396,9918,343075
2020-06-16,11086,7226,187550,2004,11922,354161
2020-06-17,13108,6890,194440,341,12263,367269
2020-06-18,13829,10741,205181,343,12606,381098
2020-06-19,14740,9029,214210,364,12970,395838
2020-06-20,15918,13974,228184,308,13278,411753
2020-06-21,15151,9075,237259,426,13704,426904
2020-06-22,13560,10879,248138,312,14016,440464
2020-06-23,15656,10462,258600,468,14484,456120
2020-06-24,16868,13089,271689,424,14908,472988
2020-06-25,18205,13983,285672,401,15309,491193
2020-06-26,18255,10246,295918,381,15690,509448
2020-06-27,20142,14229,310147,414,16104,529590
2020-06-28,19610,11631,321778,384,16488,549200
2020-06-29,18339,13497,335275,417,16905,567539
2020-06-30,18256,12565,347840,506,17411,585795
2020-07-01,19429,12064,359904,438,17849,605224
2020-07-02,21947,19999,379903,378,18227,627171
2020-07-03,22718,14417,394320,444,18671,649889
2020-07-04,24018,14746,409066,611,19282,673907
2020-07-05,23942,15829,424895,421,19703,697849
2020-07-06,22500,15315,440210,473,20176,720349
2020-07-07,23147,16836,457046,479,20655,743496
2020-07-08,25561,19508,476554,492,21147,769057
2020-07-09,25790,19408,495962,479,21626,794847
2020-07-10,27762,20289,516251,520,22146,822609
2020-07-11,27757,19981,536232,543,22689,850366
2020-07-12,29106,18198,554430,500,23189,879472
2020-07-13,28178,17683,572113,541,23730,907650
2020-07-14,29917,20977,593090,587,24317,937567
2020-07-15,32607,20646,613736,614,24931,970174
2020-07-16,35468,22867,636603,680,25611,1005642
2020-07-17,34820,17476,654079,676,26287,1040462
2020-07-18,37411,23583,677662,543,26830,1077873
2020-07-19,40235,22730,700392,675,27505,1118108
2020-07-20,36806,24303,724695,596,28101,1154914
2020-07-21,39170,27589,752284,671,28772,1194084
2020-07-22,45601,31875,784159,1130,29902,1239685
2020-07-23,48443,33326,817485,755,30657,1288128
2020-07-24,48888,32514,849999,763,31420,1337016
2020-07-25,50072,37125,887124,703,32123,1387088
2020-07-26,48932,31512,918636,704,32827,1436020
2020-07-27,46484,34354,952990,642,33469,1482504
2020-07-28,49631,35683,988673,774,34243,1532135
2020-07-29,52479,32886,1021559,775,35018,1584614
2020-07-30,54750,37425,1058984,783,35801,1639364
