Date,state,Confirmed,Death,Cured
3/12/2020,Andhra Pradesh,1,0,0
3/13/2020,Andhra Pradesh,1,0,0
3/14/2020,Andhra Pradesh,1,0,0
3/15/2020,Andhra Pradesh,1,0,0
3/16/2020,Andhra Pradesh,1,0,0
3/17/2020,Andhra Pradesh,1,0,0
3/18/2020,Andhra Pradesh,1,0,0
3/19/2020,Andhra Pradesh,2,0,0
3/20/2020,Andhra Pradesh,2,0,0
3/21/2020,Andhra Pradesh,3,0,0
3/22/2020,Andhra Pradesh,5,0,0
3/22/2020,Bihar,2,1,0
3/23/2020,Andhra Pradesh,7,0,0
3/23/2020,Bihar,2,1,0
3/24/2020,Andhra Pradesh,8,0,0
3/24/2020,Bihar,3,1,0
3/25/2020,Andhra Pradesh,9,0,1
3/25/2020,Bihar,4,1,0
3/26/2020,Andhra Pradesh,11,0,1
3/26/2020,Bihar,6,1,0
3/27/2020,Andhra Pradesh,12,0,1
3/27/2020,Bihar,6,1,0
3/28/2020,Andhra Pradesh,14,0,1
3/28/2020,Bihar,9,1,0
3/29/2020,Andhra Pradesh,14,0,1
3/29/2020,Bihar,9,1,0
3/30/2020,Andhra Pradesh,19,0,1
3/30/2020,Bihar,11,1,0
3/31/2020,Andhra Pradesh,40,0,1
3/31/2020,Bihar,15,1,0
4/1/2020,Andhra Pradesh,83,0,0
4/1/2020,Assam,1,0,0
4/1/2020,Bihar,23,1,0
4/2/2020,Andhra Pradesh,86,1,1
4/2/2020,Assam,1,0,0
4/2/2020,Bihar,23,1,0
4/3/2020,Andhra Pradesh,132,1,1
4/3/2020,Assam,16,0,0
4/3/2020,Bihar,24,1,0
4/4/2020,Andhra Pradesh,161,1,1
4/4/2020,Assam,24,0,0
4/4/2020,Bihar,29,1,0
4/5/2020,Andhra Pradesh,161,1,1
4/5/2020,Assam,24,0,0
4/5/2020,Bihar,30,1,0
4/6/2020,Andhra Pradesh,226,3,1
4/6/2020,Assam,26,0,0
4/6/2020,Bihar,30,1,0
4/7/2020,Andhra Pradesh,266,3,1
4/7/2020,Assam,26,0,0
4/7/2020,Bihar,32,1,0
4/8/2020,Andhra Pradesh,305,4,1
4/8/2020,Assam,27,0,0
4/8/2020,Bihar,38,1,0
4/9/2020,Andhra Pradesh,348,4,6
4/9/2020,Assam,28,0,0
4/9/2020,Bihar,38,1,0
4/10/2020,Andhra Pradesh,348,4,6
4/10/2020,Assam,29,0,0
4/10/2020,Bihar,39,1,0
4/11/2020,Andhra Pradesh,363,6,7
4/11/2020,Assam,29,1,0
4/11/2020,Bihar,60,1,0
4/12/2020,Andhra Pradesh,381,6,11
4/12/2020,Assam,29,1,0
4/12/2020,Bihar,63,1,0
4/13/2020,Andhra Pradesh,427,7,11
4/13/2020,Assam,29,1,0
4/13/2020,Bihar,64,1,19
4/14/2020,Andhra Pradesh,473,9,14
4/14/2020,Assam,21,1,0
4/14/2020,Bihar,66,1,26
4/15/2020,Andhra Pradesh,483,9,16
4/15/2020,Assam,32,1,0
4/15/2020,Bihar,66,1,29
4/16/2020,Andhra Pradesh,525,14,20
4/16/2020,Assam,33,1,0
4/16/2020,Bihar,70,1,29
4/17/2020,Andhra Pradesh,572,14,36
4/17/2020,Assam,35,1,5
4/17/2020,Bihar,83,1,37
4/18/2020,Andhra Pradesh,572,14,36
4/18/2020,Assam,35,1,5
4/18/2020,Bihar,83,2,37
4/19/2020,Andhra Pradesh,603,15,42
4/19/2020,Assam,35,1,12
4/19/2020,Bihar,86,2,37
4/20/2020,Andhra Pradesh,646,15,42
4/20/2020,Assam,35,1,17
4/20/2020,Bihar,93,2,42
4/21/2020,Andhra Pradesh,722,20,92
4/21/2020,Assam,35,1,19
4/21/2020,Bihar,113,2,42
4/22/2020,Andhra Pradesh,757,22,96
4/22/2020,Assam,35,1,19
4/22/2020,Bihar,126,2,42
4/23/2020,Andhra Pradesh,813,24,120
4/23/2020,Assam,35,1,19
4/23/2020,Bihar,143,2,46
4/24/2020,Andhra Pradesh,895,27,141
4/24/2020,Assam,36,1,19
4/24/2020,Bihar,153,2,46
4/25/2020,Andhra Pradesh,955,29,145
4/25/2020,Assam,36,1,19
4/25/2020,Bihar,223,2,46
4/26/2020,Andhra Pradesh,1061,31,171
4/26/2020,Assam,36,1,19
4/26/2020,Bihar,243,2,46
4/27/2020,Andhra Pradesh,1097,31,231
4/27/2020,Assam,36,1,27
4/27/2020,Bihar,274,2,56
4/28/2020,Andhra Pradesh,1183,31,235
4/28/2020,Assam,36,1,27
4/28/2020,Bihar,345,2,57
4/29/2020,Andhra Pradesh,1259,31,258
4/29/2020,Assam,38,1,27
4/29/2020,Bihar,366,2,64
4/30/2020,Andhra Pradesh,1332,31,287
4/30/2020,Assam,38,1,29
4/30/2020,Bihar,392,2,65
5/1/2020,Andhra Pradesh,1403,31,321
5/1/2020,Assam,42,1,29
5/1/2020,Bihar,418,2,82
5/2/2020,Andhra Pradesh,1463,33,403
5/2/2020,Assam,43,1,32
5/2/2020,Bihar,471,3,98
5/3/2020,Andhra Pradesh,1525,33,441
5/3/2020,Assam,43,1,32
5/3/2020,Bihar,481,4,107
5/4/2020,Andhra Pradesh,1583,33,488
5/4/2020,Assam,43,1,32
5/4/2020,Bihar,503,4,125
5/5/2020,Andhra Pradesh,1650,36,524
5/5/2020,Assam,43,1,32
5/5/2020,Bihar,528,4,130
5/6/2020,Andhra Pradesh,1717,36,589
5/6/2020,Assam,43,1,32
5/6/2020,Bihar,536,4,142
5/7/2020,Andhra Pradesh,1777,36,729
5/7/2020,Assam,45,1,32
5/7/2020,Bihar,542,4,188
5/8/2020,Andhra Pradesh,1847,38,780
5/8/2020,Assam,54,1,34
5/8/2020,Bihar,550,5,246
5/9/2020,Andhra Pradesh,1887,41,842
5/9/2020,Assam,59,1,34
5/9/2020,Bihar,571,5,297
5/10/2020,Andhra Pradesh,1930,44,887
5/10/2020,Assam,63,2,34
5/10/2020,Bihar,591,5,322
5/11/2020,Andhra Pradesh,1980,45,925
5/11/2020,Assam,63,2,34
5/11/2020,Bihar,696,6,365
5/12/2020,Andhra Pradesh,2018,45,975
5/12/2020,Assam,65,2,34
5/12/2020,Bihar,747,6,377
5/13/2020,Andhra Pradesh,2090,46,1056
5/13/2020,Assam,65,2,39
5/13/2020,Bihar,831,6,383
5/14/2020,Andhra Pradesh,2137,47,1142
5/14/2020,Assam,80,2,39
5/14/2020,Bihar,940,7,388
5/15/2020,Andhra Pradesh,2205,48,1192
5/15/2020,Assam,87,2,39
5/15/2020,Bihar,994,7,411
5/16/2020,Andhra Pradesh,2307,48,1252
5/16/2020,Assam,90,2,41
5/16/2020,Bihar,1018,7,438
5/17/2020,Andhra Pradesh,2355,49,1353
5/17/2020,Assam,92,2,41
5/17/2020,Bihar,1179,7,453
5/18/2020,Andhra Pradesh,2407,50,1456
5/18/2020,Assam,101,2,41
5/18/2020,Bihar,1262,8,475
5/19/2020,Andhra Pradesh,2474,50,1552
5/19/2020,Assam,107,2,41
5/19/2020,Bihar,1391,9,494
5/20/2020,Andhra Pradesh,2532,52,1621
5/20/2020,Assam,142,4,41
5/20/2020,Bihar,1498,9,534
5/21/2020,Andhra Pradesh,2602,53,1640
5/21/2020,Assam,170,4,48
5/21/2020,Bihar,1674,10,571
5/22/2020,Andhra Pradesh,2647,53,1709
5/22/2020,Assam,203,4,54
5/22/2020,Bihar,1982,11,593
5/23/2020,Andhra Pradesh,2709,55,1763
5/23/2020,Assam,259,4,54
5/23/2020,Bihar,2177,11,629
5/24/2020,Andhra Pradesh,2757,56,1809
5/24/2020,Assam,329,4,55
5/24/2020,Bihar,2380,11,653
5/25/2020,Andhra Pradesh,2823,56,1856
5/25/2020,Assam,378,4,55
5/25/2020,Bihar,2587,13,702
5/26/2020,Andhra Pradesh,3110,56,1896
5/26/2020,Assam,526,4,62
5/26/2020,Bihar,2730,13,749
5/27/2020,Andhra Pradesh,3171,57,2009
5/27/2020,Assam,616,4,62
5/27/2020,Bihar,2983,13,900
5/28/2020,Andhra Pradesh,3171,58,2057
5/28/2020,Assam,781,4,87
5/28/2020,Bihar,3061,15,1083
5/29/2020,Andhra Pradesh,3251,59,2125
5/29/2020,Assam,856,4,104
5/29/2020,Bihar,3296,15,1211
5/30/2020,Andhra Pradesh,3436,60,2226
5/30/2020,Assam,1024,4,125
5/30/2020,Bihar,3376,15,1211
5/31/2020,Andhra Pradesh,3569,60,2289
5/31/2020,Assam,1185,4,163
5/31/2020,Bihar,3636,20,1618
6/1/2020,Andhra Pradesh,3679,62,2349
6/1/2020,Assam,1272,4,185
6/1/2020,Bihar,3815,21,1710
6/2/2020,Andhra Pradesh,3783,64,2378
6/2/2020,Assam,1390,4,277
6/2/2020,Bihar,3926,24,1900
6/3/2020,Andhra Pradesh,3898,64,2421
6/3/2020,Assam,1513,4,324
6/3/2020,Bihar,4155,24,1946
6/4/2020,Andhra Pradesh,4080,68,2466
6/4/2020,Assam,1672,4,413
6/4/2020,Bihar,4390,25,2077
6/5/2020,Andhra Pradesh,4223,71,2539
6/5/2020,Assam,1988,4,442
6/5/2020,Bihar,4493,29,2210
6/6/2020,Andhra Pradesh,4303,73,2576
6/6/2020,Assam,2153,4,498
6/6/2020,Bihar,4596,29,2225
6/7/2020,Andhra Pradesh,4510,73,2620
6/7/2020,Assam,2397,4,547
6/7/2020,Bihar,4915,30,2425
6/8/2020,Andhra Pradesh,4708,75,2682
6/8/2020,Assam,2565,4,615
6/8/2020,Bihar,5088,30,2480
6/9/2020,Andhra Pradesh,4851,75,2745
6/9/2020,Assam,2776,4,665
6/9/2020,Bihar,5202,31,2499
6/10/2020,Andhra Pradesh,5070,77,2802
6/10/2020,Assam,2937,4,1085
6/10/2020,Bihar,5459,32,2864
6/11/2020,Andhra Pradesh,5269,78,2899
6/11/2020,Assam,3092,4,1249
6/11/2020,Bihar,5710,33,3071
6/12/2020,Andhra Pradesh,5429,80,3048
6/12/2020,Assam,3319,6,1432
6/12/2020,Bihar,5983,36,3266
6/13/2020,Andhra Pradesh,5680,80,3105
6/13/2020,Assam,3498,8,1537
6/13/2020,Bihar,6103,36,3587
6/14/2020,Andhra Pradesh,5965,82,3195
6/14/2020,Assam,3718,8,1584
6/14/2020,Bihar,6290,39,3956
6/15/2020,Andhra Pradesh,6163,84,3314
6/15/2020,Assam,4049,8,1960
6/15/2020,Bihar,6470,39,4170
6/16/2020,Andhra Pradesh,6456,88,3316
6/16/2020,Assam,4158,8,2166
6/16/2020,Bihar,6650,40,4409
6/17/2020,Andhra Pradesh,6841,88,3509
6/17/2020,Assam,4319,8,2166
6/17/2020,Bihar,6778,41,4644
6/18/2020,Andhra Pradesh,7071,90,3641
6/18/2020,Assam,4605,8,2642
6/18/2020,Bihar,6942,44,4926
6/19/2020,Andhra Pradesh,7518,92,3789
6/19/2020,Assam,4777,9,2654
6/19/2020,Bihar,7025,44,5056
6/20/2020,Andhra Pradesh,7961,96,3917
6/20/2020,Assam,4904,9,3039
6/20/2020,Bihar,7181,50,5098
6/21/2020,Andhra Pradesh,8452,101,4111
6/21/2020,Assam,4904,9,3039
6/21/2020,Bihar,7533,52,5529
6/22/2020,Andhra Pradesh,8999,106,4331
6/22/2020,Assam,5388,9,3360
6/22/2020,Bihar,7612,53,5580
6/23/2020,Andhra Pradesh,9372,111,4495
6/23/2020,Assam,5586,9,3521
6/23/2020,Bihar,7825,55,5781
6/24/2020,Andhra Pradesh,10002,119,4599
6/24/2020,Assam,5831,9,3762
6/24/2020,Bihar,8153,56,6104
6/25/2020,Andhra Pradesh,10331,124,4779
6/25/2020,Assam,6198,9,3958
6/25/2020,Bihar,8209,57,6113
6/27/2020,Andhra Pradesh,11489,148,5196
6/27/2020,Assam,6607,9,4259
6/27/2020,Bihar,8716,58,6762
6/28/2020,Andhra Pradesh,12285,157,5480
6/28/2020,Assam,6816,9,4500
6/28/2020,Bihar,8931,59,6843
6/29/2020,Andhra Pradesh,13241,169,5908
6/29/2020,Assam,7206,10,5088
6/29/2020,Bihar,9212,60,7118
6/30/2020,Andhra Pradesh,13891,180,6232
6/30/2020,Assam,7752,11,5333
6/30/2020,Bihar,9640,62,7390
7/2/2020,Andhra Pradesh,15252,193,6988
7/2/2020,Assam,8582,12,5851
7/2/2020,Bihar,10249,70,7946
7/3/2020,Andhra Pradesh,16097,198,7313
7/3/2020,Assam,9013,12,6106
7/3/2020,Bihar,10471,77,8020
7/5/2020,Andhra Pradesh,17699,218,8008
7/5/2020,Assam,10668,14,6657
7/5/2020,Bihar,11700,89,8686
7/7/2020,Andhra Pradesh,20019,239,8920
7/7/2020,Assam,12160,14,7882
7/7/2020,Bihar,12125,97,8997
7/8/2020,Andhra Pradesh,21197,252,9745
7/8/2020,Assam,12522,14,8329
7/8/2020,Bihar,12570,104,9284
7/9/2020,Andhra Pradesh,22259,264,11101
7/9/2020,Assam,13336,16,8729
7/9/2020,Bihar,13189,107,9554
7/10/2020,Andhra Pradesh,23814,277,12154
7/10/2020,Assam,14032,22,8729
7/10/2020,Bihar,13944,115,9816
7/11/2020,Andhra Pradesh,25422,292,13194
7/11/2020,Assam,14600,27,9147
7/11/2020,Bihar,14575,119,10109
7/12/2020,Andhra Pradesh,27235,309,14393
7/12/2020,Assam,15536,35,9150
7/12/2020,Bihar,15373,131,10685
7/13/2020,Andhra Pradesh,29168,328,15412
7/13/2020,Assam,16071,35,10426
7/13/2020,Bihar,16642,143,11498
7/14/2020,Andhra Pradesh,31103,365,16464
7/14/2020,Assam,16806,36,10894
7/14/2020,Bihar,17959,160,12317
7/15/2020,Andhra Pradesh,33019,408,17467
7/15/2020,Assam,17807,40,11416
7/15/2020,Bihar,19284,174,12849
7/16/2020,Andhra Pradesh,35451,452,18378
7/16/2020,Assam,18666,46,12173
7/16/2020,Bihar,20612,180,13462
7/17/2020,Andhra Pradesh,35451,452,18378
7/17/2020,Assam,18666,46,12173
7/17/2020,Bihar,20612,180,13462
7/19/2020,Andhra Pradesh,44609,586,21763
7/19/2020,Assam,22918,53,15165
7/19/2020,Bihar,25136,208,15536
7/20/2020,Andhra Pradesh,49650,642,22890
7/20/2020,Assam,23999,57,16023
7/20/2020,Bihar,26569,217,16308
7/21/2020,Andhra Pradesh,53724,696,24228
7/21/2020,Assam,25382,58,17095
7/21/2020,Bihar,27646,217,17433
7/22/2020,Andhra Pradesh,58668,758,25574
7/22/2020,Assam,25382,58,18033
7/22/2020,Bihar,28952,217,18515
7/23/2020,Andhra Pradesh,64713,823,32127
7/23/2020,Assam,26772,64,18033
7/23/2020,Bihar,30369,217,19646
7/24/2020,Andhra Pradesh,72711,884,37555
7/24/2020,Assam,28791,70,20699
7/24/2020,Bihar,31980,217,20769
7/25/2020,Andhra Pradesh,80858,933,39935
7/25/2020,Assam,29921,76,21761
7/25/2020,Bihar,33926,220,22343
7/26/2020,Andhra Pradesh,88671,985,43255
7/26/2020,Assam,31086,77,23055
7/26/2020,Bihar,36604,234,24053
7/27/2020,Andhra Pradesh,96298,1041,46301
7/27/2020,Assam,32228,79,24040
7/27/2020,Bihar,39176,244,25815
